@@,wdid,name,position
->,Q85191654->NULL,Maria Luisa Hayem->María Luisa Hayem Brevé,Ministro de Economía
->,Q67056921->NULL,Rogelio Eduardo Rivas Polanco,Ministro de Justicia y Seguridad Pública
->,Q67056339,Mario Edgardo Durán Gavidia,Ministro de Gobernación de El Salvador->Ministro de Gobernación y Desarrollo Territorial
->,Q67054108->NULL,René Francis Merino Monroy,Ministro de la Defensa Nacional
->,Q56249753,Nelson Eduardo Fuentes Menjivar->Nelson Eduardo Fuentes Menjívar,Ministro de Hacienda
->,Q48688454,Michelle Sol,Ministerio de Vivienda y Desarrollo Urbano->Ministro de Vivienda y Desarrollo Urbano
->,Q110165180->NULL,Mariemm Eunice Pleitez Quiñonez,Ministro de Cultura
->,Q110165116->NULL,Juan Carlos Bidegain Hananía,Ministro de Gobernación de El Salvador->Ministro de Gobernación y Desarrollo Territorial
->,Q110165013->NULL,Morena Ileana Valdez Vigil,Ministro de Turismo
->,Q110165006->NULL,Fernando Andrés López Larreynaga,Ministro de Medio Ambiente y Recursos Naturales
->,Q110164989->NULL,Edgar Romeo Rodríguez Herrera,Ministro de Obras Públicas y Transporte
->,Q110164961->NULL,Francisco José Alabí Montoya,Ministro de Salud
->,Q110164954->NULL,Ana del Carmen Orellana Bendek,Ministro de Salud
->,Q110164923->NULL,David Josué Martínez,Ministro de Agricultura y Ganadería
->,Q110164921->NULL,Pablo Salvador Anliker Infante,Ministro de Agricultura y Ganadería
->,Q110164787->NULL,Óscar Rolando Castro,Ministro de Trabajo y Previsión Social
->,Q110164741->NULL,Carla Evelyn Hananía de Varela,"Ministro de Educación, Ciencia y Tecnología->Ministro de Educación,Ciencia y Tecnología"
->,Q110164006->NULL,Héctor Gustavo Villatoro,Ministro de Justicia y Seguridad Pública
->,Q105735880->NULL,Alejandro Zelaya,Ministro de Hacienda
->,Q104111057->NULL,María Ofelia Navarrete->María Ofelia Navarrete de Dubon,Ministro de Desarrollo Local
---,Q61022687,"Félix Ulloa, Jr.",vicepresidente de El Salvador
---,Q17712353,Nayib Bukele,presidente de El Salvador
---,Q106695889,Suecy Callejas,Ministro de Cultura
+++,"",Suecy Beverly Callejas Estrada,Ministro de Cultura
+++,"",Enrique José Parada Rivas,Ministro de Agricultura y Ganadería
+++,"",José Mauricio Pineda Rodríguez,"Ministro de Educación,Ciencia y Tecnología"
