id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q878151,President of El Salvador,Q792,Q792,Q7925044,Q10353659,1841-02-02,,,,President of El Salvador
Q7925044,Vice President of El Salvador,Q792,,,,,,,,Vice President of El Salvador
Q110164917,Minister of Agriculture and Livestock,,Q792,,,,,,,
Q110164211,Minister of Culture,,Q792,,,,,,,
Q67071405,"Minister of Education, Science and Technology",Q792,,,,,,,,
Q110164996,Minister of Environment and Natural Resources of El Salvador,,Q792,,,,,,,
Q56249714,Minister of Finance of El Salvador,Q792,Q792,,,,,,,
Q56457352,Minister of Foreign Affairs of El Salvador,Q792,Q792,,Q47160238,,,,,Minister of Foreign Affairs (El Salvador)
Q110164949,Minister of Health,,Q792,,,,,,,
Q110164285,Minister of Housing of El Salvador,,Q792,,,,,,,
Q61722320,Minister of Internal Affairs of El Salvador,Q792,,,,,,,,
Q67056742,Minister of Justice and Public Security,Q792,,,,,,,,
Q110164783,Minister of Labour and Social Provision of El Salvador,,Q792,,,,,,,
Q110164545,Minister of Local Development of El Salvador,,Q792,,,,,,,
Q67054651,Minister of National Defense,Q792,,,,,,,,Minister of National Defense of El Salvador
Q110164986,Minister of Public Works,,Q792,,,,,,,
Q110165011,Minister of Tourism,,Q792,,,,,,,
Q6360067,President of the Legislative Assembly of El Salvador,Q792,,,,,,,,
Q6360067,President of the Legislative Assembly of El Salvador,Q792,,,,,,,,
Q110165216,Governor of the Central Reserve Bank of El Salvador,Q792,,,,,,,,
Q110165233,Chief of Joint Chiefs of Staff of El Salvador,,Q792,,,,,,,
