item,itemLabel,position,positionLabel,start,psid
Q104111057,María Ofelia Navarrete,Q110164545,Minister of Local Development of El Salvador,2019-06-01,Q104111057-50557083-9989-4FDF-A9BF-CE1CEE95F669
Q105735880,Alejandro Zelaya,Q56249714,Minister of Finance of El Salvador,2020-07-28,Q105735880-E1A246B2-E6D6-4156-B466-376EB0BDF1CF
Q110164006,Héctor Gustavo Villatoro,Q67056742,Minister of Justice and Public Security,2021-03-26,Q110164006-22D9A13B-4AB8-44B0-8DAA-006591A2988D
Q110164787,Óscar Rolando Castro,Q110164783,Minister of Labour and Social Provision of El Salvador,2019-06-01,Q110164787-768AAD44-BEF0-4B26-9A70-E5EE4D4EE997
Q110164961,Francisco José Alabí Montoya,Q110164949,Minister of Health,2020-03-27,Q110164961-F9A0564F-8698-4622-ABC6-52747BF25D69
Q110164989,Edgar Romeo Rodríguez Herrera,Q110164986,Minister of Public Works,2019-06-01,Q110164989-CE282D7A-FC8A-41AD-B261-710263E6EB19
Q110165006,Fernando Andrés López Larreynaga,Q110164996,Minister of Environment and Natural Resources of El Salvador,2019-06-01,Q110165006-20424A89-13DC-481F-86DA-4C37B7A69F4F
Q110165013,Morena Ileana Valdez Vigil,Q110165011,Minister of Tourism,2019-06-01,Q110165013-D6427ED7-4A4F-4F8F-BD81-A95E1A47F2A7
Q110165116,Juan Carlos Bidegain Hananía,Q61722320,Minister of Internal Affairs of El Salvador,2020-11-20,Q110165116-073377D5-84E8-4C72-A530-961007B80AA6
Q110165180,Mariemm Eunice Pleitez Quiñonez,Q110164211,Minister of Culture,2020-07-30,Q110165180-018CB45F-38D5-4CA1-AEEE-F0C5A6140238
Q112225512,José Mauricio Pineda Rodríguez,Q67071405,"Minister of Education, Science and Technology",2022-03-22,Q112225512-d30939f7-4e56-a35b-1a29-2bc7fb352b9d
Q112225518,Enrique José Parada Rivas,Q110164917,Minister of Agriculture and Livestock,2022-03-09,Q112225518-461be923-4835-ad12-1baa-9d41c5266485
Q17712353,Nayib Bukele :D,Q878151,President of El Salvador,2019-06-01,Q17712353-11132b04-4ba4-cead-5d0c-1da0c780b282
Q48688454,Michelle Sol,Q110164285,Minister of Housing of El Salvador,2019-06-01,Q48688454-A94D0E80-DAE2-4D80-AE7E-BC247EA4259A
Q61022687,"Félix Ulloa, Jr.",Q7925044,Vice President of El Salvador,2019-06-01,Q61022687-7e23207c-44ac-ab62-2418-58897f150837
Q63744690,Alexandra Hill Tinoco,Q56457352,Minister of Foreign Affairs of El Salvador,2019-06-01,Q63744690-A8E06845-45C1-4E38-89DC-E7D5BB0C5125
Q67054108,René Francis Merino Monroy,Q67054651,Minister of National Defense,2019-06-01,Q67054108-a19c7899-4d2f-c63c-8624-d90c64a2c0b5
Q85191654,Maria Luisa Hayem,Q110164123,Minister of Economy of El Salvador,2019-06-01,Q85191654-43F64371-10F1-4616-8531-18A1A5C04D68
